Disease/Trait,Total Mapped Genes,EUR-Only Genes,Shared Genes,SAS-Only Genes,Total EUR Genes,Total SAS Genes
Unswitched memory B cell Absolute Count,3,3,0,0,3,0
IgD- CD27- B cell %B cell,3,3,0,0,3,0
IgD+ B cell Absolute Count,3,3,0,0,3,0
Arsenic metabolism,3,0,0,3,0,3
MZT1 protein levels,3,3,0,0,3,0
Cardiovascular event in colchicine-treated recent myocardial infarction (time to event),3,3,0,0,3,0
Gastrointestinal event in colchicine-treated recent myocardial infarction (time to event),3,3,0,0,3,0
Serum levels of protein RPN1,3,3,0,0,3,0
Serum levels of protein RPS10,3,3,0,0,3,0
TIMP-1 levels in metastatic colorectal cancer,3,3,0,0,3,0
TSP2 levels in metastatic colorectal cancer,3,3,0,0,3,0
CD4+ CD8dim T cell Absolute Count,3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 42),3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 46),3,3,0,0,3,0
PARP1/TCL1A protein level ratio,3,3,0,0,3,0
PCDH17/PTPRM protein level ratio,3,3,0,0,3,0
PCDH17/SEMA7A protein level ratio,3,3,0,0,3,0
PCDH17/TEK protein level ratio,3,3,0,0,3,0
Serum levels of protein GFRA2,3,3,0,0,3,0
Serum levels of protein GGH,3,3,0,0,3,0
Serum levels of protein GIP,3,3,0,0,3,0
Life threatening arrhythmia,3,3,0,0,3,0
OTU97_27 (Bacteroides) prevalence,3,3,0,0,3,0
OTU97_3 (Bacteroides) prevalence,3,3,0,0,3,0
CD8+ and CD8dim T cell %leukocyte,3,3,0,0,3,0
HLA DR+ T cell Absolute Count,3,3,0,0,3,0
HLA DR+ T cell%lymphocyte,3,3,0,0,3,0
Lymphocyte Absolute Count,3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 6),3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 13),3,3,0,0,3,0
Bell pepper liking,3,3,0,0,3,0
Alzheimer's disease or diastolic blood pressure (pleiotropy),3,3,0,0,3,0
Serum levels of protein LST1,3,3,0,0,3,0
Serum levels of protein LTA;LTB,3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 34),3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 23),3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 54),3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 57),3,3,0,0,3,0
CCR2 on plasmacytoid Dendritic Cell,3,3,0,0,3,0
CCR2 on CD62L+ plasmacytoid Dendritic Cell,3,3,0,0,3,0
T/B cell,3,3,0,0,3,0
DECR1/FXN protein level ratio,3,3,0,0,3,0
DECR1/METAP1D protein level ratio,3,3,0,0,3,0
Phosphatidylinositol (18:0_22:4) levels,3,3,0,0,3,0
Acylcarnitine (17:0) (a) levels,3,3,0,0,3,0
Chicken liking,3,3,0,0,3,0
Serum levels of protein M6PR,3,3,0,0,3,0
Serum levels of protein MAN1C1,3,3,0,0,3,0
Serum levels of protein MAN2B2,3,3,0,0,3,0
Serum levels of protein MANBA,3,3,0,0,3,0
G_Bacteroidetes prevalence,3,3,0,0,3,0
OTU97_58 (Sutterellaceae) prevalence,3,3,0,0,3,0
Growth/differentiation factor 8 (analyte X14583.49) levels,3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 121),3,3,0,0,3,0
DFFA/HPCAL1 protein level ratio,3,3,0,0,3,0
DFFA/MANF protein level ratio,3,3,0,0,3,0
PLAUR/TREM2 protein level ratio,3,3,0,0,3,0
CCR2 on monocyte,3,3,0,0,3,0
Interleukin-18 receptor accessory protein (analyte X10457.3) levels,3,3,0,0,3,0
Stromelysin-2 (analyte X10479.18) levels,3,3,0,0,3,0
CD4 on Central Memory CD4+ T cell,3,3,0,0,3,0
CD4 on CD45RA+ CD4+ T cell,3,3,0,0,3,0
Serum levels of protein MAP2K2,3,3,0,0,3,0
Serum levels of protein MAP2K4,3,3,0,0,3,0
HLA DR on monocyte,3,3,0,0,3,0
PLPBP/RWDD1 protein level ratio,3,3,0,0,3,0
PLPBP/STIP1 protein level ratio,3,3,0,0,3,0
PLXNA4/SPRY2 protein level ratio,3,3,0,0,3,0
Transmembrane protein 132C:Cytoplasmic domain levels,3,3,0,0,3,0
PMVK/PRDX5 protein level ratio,3,3,0,0,3,0
PMVK/PRTFDC1 protein level ratio,3,3,0,0,3,0
DLL1/NOTCH1 protein level ratio,3,3,0,0,3,0
DNAJA2/FIS1 protein level ratio,3,3,0,0,3,0
PILRA/TNFRSF1A protein level ratio,3,3,0,0,3,0
CD28 on CD45RA- CD4 not regulatory T cell,3,3,0,0,3,0
CD28 on CD39+ CD4+ T cell,3,3,0,0,3,0
CD28 on CD28+ CD4-CD8- T cell,3,3,0,0,3,0
CD28 on CD39+ CD8+ T cell,3,3,0,0,3,0
Endothelial growth factor levels,3,3,0,0,3,0
Physical health related quality of life,3,3,0,0,3,0
Cardiovascular risk factors,3,3,0,0,3,0
Serum levels of protein DDX46,3,3,0,0,3,0
PKLR/TGM2 protein level ratio,3,3,0,0,3,0
PLA2G15/SMPD1 protein level ratio,3,3,0,0,3,0
PLA2G1B/PRSS2 protein level ratio,3,3,0,0,3,0
PPCDC/RWDD1 protein level ratio,3,3,0,0,3,0
PPP1R12A/SKAP2 protein level ratio,3,3,0,0,3,0
NCF2/PADI4 protein level ratio,3,3,0,0,3,0
N-sulphoglucosamine sulphohydrolase levels,3,3,0,0,3,0
NECTIN4/SPINK5 protein level ratio,3,3,0,0,3,0
CD28 on secreting CD4 regulatory T cell,3,3,0,0,3,0
CD28 on CD45RA+ CD4+ T cell,3,3,0,0,3,0
Dipeptidyl peptidase 1 (analyte X13730.18) levels,3,3,0,0,3,0
Plasma protease C1 inhibitor (analyte X13710.6) levels,3,3,0,0,3,0
CD34 on Hematopoietic Stem Cell,3,3,0,0,3,0
HVEM on naive CD8+ T cell,3,3,0,0,3,0
HVEM on CD4+ T cell,3,3,0,0,3,0
Total cholesterol levels in large HDL,3,3,0,0,3,0
Serum levels of protein RNPEP,3,3,0,0,3,0
Serum levels of protein DEFA5,3,3,0,0,3,0
Serum levels of protein DEFB1,3,3,0,0,3,0
Taurolithocholate 3-sulfate levels,3,1,2,0,3,2
Sepsis from pneumonia (survival),3,3,0,0,3,0
Cholesterol ester levels in very large HDL,3,3,0,0,3,0
CD86 on granulocyte,3,3,0,0,3,0
Uracil-DNA glycosylase levels,3,3,0,0,3,0
CD40 on CD14+ CD16- monocyte,3,3,0,0,3,0
CD14 on CD14+ CD16+ monocyte,3,3,0,0,3,0
HVEM on CD45RA- CD4+ T cell,3,3,0,0,3,0
Late-onset postpartum depression,3,3,0,0,3,0
DAPP1/HPCAL1 protein level ratio,3,3,0,0,3,0
BAFF-R on B cell,3,3,0,0,3,0
Brain shape (segment 60),3,3,0,0,3,0
Brain shape (segment 63),3,3,0,0,3,0
"Tacrolimus trough level in transplant patients (heart, kidney, lung, and liver)",3,3,0,0,3,0
Fusiform volume (baseline),3,3,0,0,3,0
Alzheimer's disease assessment scale (6 month visit),3,3,0,0,3,0
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (6 month visit),3,3,0,0,3,0
IKBKG protein levels,3,3,0,0,3,0
OSCAR/TNFRSF14 protein level ratio,3,3,0,0,3,0
PARK7/TXNDC5 protein level ratio,3,3,0,0,3,0
CD19 on IgD+ CD38+ B cell,3,3,0,0,3,0
CD19 on IgD+ CD38dim B cell,3,3,0,0,3,0
CD19 on IgD- CD38- B cell,3,3,0,0,3,0
CD19 on unswitched memory B cell,3,3,0,0,3,0
Bone mineral density or leg lean mass (pleiotropy),3,3,0,0,3,0
PDGFB/SDC4 protein level ratio,3,3,0,0,3,0
T1 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 117),3,3,0,0,3,0
L-dopachrome tautomerase levels,3,3,0,0,3,0
Ceramide (d18:2/16:0) levels,3,3,0,0,3,0
Brain shape (segment 177),3,3,0,0,3,0
Brain shape (segment 196),3,3,0,0,3,0
MAD1L1 protein levels,3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 4),3,3,0,0,3,0
BAFF-R on IgD- CD24- B cell,3,3,0,0,3,0
BAFF-R on IgD- CD27- B cell,3,3,0,0,3,0
Cholesteryl ester (17:1) levels,3,3,0,0,3,0
Ceramide (d18:2/24:0) levels,3,3,0,0,3,0
Ceramide (d18:1/26:0) levels,3,3,0,0,3,0
BAFF-R on IgD- CD38dim B cell,3,3,0,0,3,0
BAFF-R on naive-mature B cell,3,3,0,0,3,0
BAFF-R on switched memory B cell,3,3,0,0,3,0
BAFF-R on IgD+ B cell,3,3,0,0,3,0
LRRC38 protein levels,3,3,0,0,3,0
CD19 on IgD+ CD24+ B cell,3,3,0,0,3,0
CD19 on IgD+ CD24- B cell,3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 90),3,3,0,0,3,0
Macrosialin (analyte X20528.23) levels,3,3,0,0,3,0
PIK3IP1/RGMB protein level ratio,3,3,0,0,3,0
CX3CL1/LAYN protein level ratio,3,3,0,0,3,0
CXCL10/CXCL9 protein level ratio,3,3,0,0,3,0
CXCL10/WARS protein level ratio,3,3,0,0,3,0
Hypoxanthine-guanine phosphoribosyltransferase levels,3,3,0,0,3,0
CXCL11/ITGB1BP2 protein level ratio,3,3,0,0,3,0
CXCL17/SFTPA2 protein level ratio,3,3,0,0,3,0
CXCL3/PTPN6 protein level ratio,3,3,0,0,3,0
Monocytic Myeloid-Derived Suppressor Cells Absolute Count,3,3,0,0,3,0
Cerebrospinal fluid orotidine levels,3,3,0,0,3,0
BAFF-R on CD20- CD38- B cell,3,3,0,0,3,0
BAFF-R on IgD+ CD24- B cell,3,3,0,0,3,0
Serum levels of protein PTN,3,3,0,0,3,0
Serum levels of protein PTPN1,3,3,0,0,3,0
Serum levels of protein PZP,3,3,0,0,3,0
Brain shape (segment 230),3,3,0,0,3,0
Scleritis and episcleritis (PheCode 379.1),3,3,0,0,3,0
BAFF-R on IgD+ CD38dim B cell,3,3,0,0,3,0
NPDC1/TAFA5 protein level ratio,3,3,0,0,3,0
NRCAM/PCDH17 protein level ratio,3,3,0,0,3,0
Cerebrospinal fluid metabolite X-11787 levels,3,3,0,0,3,0
Cerebrospinal fluid metabolite X-23593 levels,3,3,0,0,3,0
Cerebrospinal fluid 3-hydroxy-2-ethylpropionate levels,3,3,0,0,3,0
Cerebrospinal fluid N-acetylarginine levels,3,3,0,0,3,0
Cerebrospinal fluid alpha-ketoglutaramate* levels,3,3,0,0,3,0
CD14- CD16+ monocyte %monocyte,3,3,0,0,3,0
NOTCH1/SEMA7A protein level ratio,3,3,0,0,3,0
Brain shape (segment 213),3,3,0,0,3,0
Serum levels of protein RAB14,3,3,0,0,3,0
Logical memory (delayed recall) in Alzheimer's disease dementia,3,3,0,0,3,0
Cerebrospinal fluid succinylcarnitine (C4-DC) levels,3,3,0,0,3,0
Transitional B cell Absolute Count,3,3,0,0,3,0
CD39+ CD4+ T cell %T cell,3,3,0,0,3,0
CD39+ CD4+ T cell %CD4+ T cell,3,3,0,0,3,0
CD39+ CD4+ T cell Absolute Count,3,3,0,0,3,0
Total cholesterol levels in medium VLDL,3,3,0,0,3,0
Protein FAM3D (analyte X13102.1) levels,3,3,0,0,3,0
Protein Mdm4 levels,3,3,0,0,3,0
Tumor necrosis factor receptor superfamily member 11A levels,3,3,0,0,3,0
Caudate volume in trauma-exposed individuals,3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 102),3,3,0,0,3,0
NT5C3A/SCRN1 protein level ratio,3,3,0,0,3,0
Human milk oligosaccharide concentration (lacto-N-fucopentaose II),3,3,0,0,3,0
Brain shape (segment 206),3,3,0,0,3,0
Interleukin-15 receptor subunit alpha (analyte X14054.17) levels,3,3,0,0,3,0
CD25++ CD8+ T cell Absolute Count,3,3,0,0,3,0
CD28- CD8+ T cell %T cell,3,3,0,0,3,0
CD28- CD8+ T cell Absolute Count,3,3,0,0,3,0
CD28+ CD45RA+ CD8+ T cell %T cell,3,3,0,0,3,0
CD28+ CD45RA- CD8+ T cell %CD8+ T cell,3,3,0,0,3,0
Terminally Differentiated CD4-CD8- T cell Absolute Count,3,3,0,0,3,0
NSFL1C/PPME1 protein level ratio,3,3,0,0,3,0
NSFL1C/RWDD1 protein level ratio,3,3,0,0,3,0
NSFL1C/SERPINB1 protein level ratio,3,3,0,0,3,0
NSFL1C/TXNDC5 protein level ratio,3,3,0,0,3,0
NT5C3A/NUB1 protein level ratio,3,3,0,0,3,0
DAPP1/PDLIM7 protein level ratio,3,3,0,0,3,0
Serum levels of protein NUDT16L1,3,3,0,0,3,0
Serum levels of protein OLA1,3,3,0,0,3,0
DAPP1/STAT5B protein level ratio,3,3,0,0,3,0
Resting CD4 regulatory T cell %CD4+ T cell,3,3,0,0,3,0
Activated & secreting CD4 regulatory T cell Absolute Count,3,3,0,0,3,0
DCTN1/VPS53 protein level ratio,3,3,0,0,3,0
Reading or mathematical ability,3,3,0,0,3,0
Cerebrospinal fluid uridine levels,3,3,0,0,3,0
Cerebrospinal fluid 2'-deoxyuridine levels,3,3,0,0,3,0
Lung function (forced expiratory volume in 1 second),3,3,0,0,3,0
CD39+ secreting CD4 regulatory T cell %secreting CD4 regulatory T cell,3,3,0,0,3,0
CD24+ CD27+ B cell %lymphocyte,3,3,0,0,3,0
Response to chemotherapy in breast cancer (hypertension) (bevacizumab),3,3,0,0,3,0
Gene methylation in lung tissue,3,3,0,0,3,0
Cerebrospinal fluid N6-acetyllysine levels,3,3,0,0,3,0
Response to methotrexate in rheumatoid arthritis,3,0,0,3,0,3
Crohn's disease (need for surgery),3,3,0,0,3,0
Cervical intraepithelial neoplasia grade 3,3,3,0,0,3,0
Invasive cervical cancer,3,3,0,0,3,0
Severe skin toxicity response to cetuximab in stage 3 colon cancer,3,3,0,0,3,0
Alpha electroencephalogram power,3,3,0,0,3,0
Pediatric central nervous system tumors (late onset)(pleiotropy),3,3,0,0,3,0
Stricture of artery (PheCode 447.1),3,3,0,0,3,0
Other heart block (PheCode 426.25),3,3,0,0,3,0
Symptoms involving cardiovascular system (PheCode 429.3),3,3,0,0,3,0
Atherosclerosis of aorta (PheCode 440.9),3,3,0,0,3,0
CD39+ resting CD4 regulatory T cell %resting CD4 regulatory T cell,3,3,0,0,3,0
Response to haloperidol in psychosis,3,3,0,0,3,0
Izumo sperm-egg fusion protein 4 levels,3,3,0,0,3,0
Cerebrospinal fluid glutarylcarnitine (C5-DC) levels,3,3,0,0,3,0
PEAR1/SPINT2 protein level ratio,3,3,0,0,3,0
Myeloid Dendritic Cell Absolute Count,3,3,0,0,3,0
Cerebrospinal fluid beta-hydroxyisovalerate levels,3,3,0,0,3,0
Cerebrospinal fluid imidazole lactate levels,3,3,0,0,3,0
Cerebrospinal fluid N-acetylglutamate levels,3,3,0,0,3,0
HLA DR+ CD4+ T cell Absolute Count,3,3,0,0,3,0
Serum levels of protein NPNT,3,3,0,0,3,0
Dynamin-2 levels,3,3,0,0,3,0
T2 brain MRIs Unsupervised Deep learning derived Imaging Phenotypes (dimension 83),3,3,0,0,3,0
DKK1/VTA1 protein level ratio,3,3,0,0,3,0
EREG/MPIG6B protein level ratio,3,3,0,0,3,0
PFKP protein levels,3,3,0,0,3,0
Dihexosylceramide (d18:1/16:0) levels,3,3,0,0,3,0
CD47 protein levels,3,3,0,0,3,0
NECTIN1 protein levels,3,3,0,0,3,0
Cerebrospinal fluid 3-hydroxy-3-methylglutarate levels,3,3,0,0,3,0
Lysophosphatidylcholine (17:1) (a) [sn1] [104_sn1] levels,3,3,0,0,3,0
Lysophosphatidylcholine (18:0) [sn2] levels,3,3,0,0,3,0
Lysophosphatidylcholine (19:0) [sn2] levels (a),3,3,0,0,3,0
Cardiovascular disease in hypertension (calcium channel blocker interaction),3,3,0,0,3,0
ESAM/TGFB1 protein level ratio,3,3,0,0,3,0
F11R/GP1BA protein level ratio,3,3,0,0,3,0
F11R/PLXNA4 protein level ratio,3,3,0,0,3,0
F11R/SUSD1 protein level ratio,3,3,0,0,3,0
Sudden cardiac arrest in coronary artery disease,3,3,0,0,3,0
Self-employment,3,3,0,0,3,0
Middle temporal gyrus volume (baseline)(adjusted for APOE e4 dosage),3,3,0,0,3,0
FSC-A on Natural Killer T,3,3,0,0,3,0
CD33 on CD33+ HLA DR+,3,3,0,0,3,0
CD33 on CD33+ HLA DR+ CD14-,3,3,0,0,3,0
CD4 on monocyte,3,3,0,0,3,0
SHH protein levels,3,3,0,0,3,0
CD8 on CD39+ CD8+ T cell,3,3,0,0,3,0
CD25 on CD28+ CD4+ T cell,3,3,0,0,3,0
FSC-A on plasmacytoid Dendritic Cell,3,3,0,0,3,0
FSC-A on monocyte,3,3,0,0,3,0
AK1/PSMD9 protein level ratio,3,3,0,0,3,0
Lysophosphatidylcholine (20:5) [sn1] levels,3,3,0,0,3,0
Lysophosphatidylcholine (22:5) [sn2] (n3) levels,3,3,0,0,3,0
Lysophosphatidylcholine (24:0) [sn1] levels,3,3,0,0,3,0
Lysophosphatidylcholine (24:0) [sn2] levels,3,3,0,0,3,0
Encounter for long-term (current) use of antiplatelets/antithrombotics (PheCode 457.2),3,3,0,0,3,0
Fluid intelligence score decline (log-difference score),3,3,0,0,3,0
Global cognition (Clinical Dementia Rating Scale Sum of Boxes) (6 month visit)(adjusted for APOE e4 dosage),3,3,0,0,3,0
Mini-mental state examination / Folstein test (6 month visit)(adjusted for APOE e4 dosage),3,3,0,0,3,0
Functional activities questionnaire (6 month visit)(adjusted for APOE e4 dosage),3,3,0,0,3,0
X-12462 levels,3,3,0,0,3,0
Lysophosphatidylcholine (22:0) [sn2] levels,3,3,0,0,3,0
ZYX protein levels,3,3,0,0,3,0
AKT1S1/FOXO1 protein level ratio,3,3,0,0,3,0
HDL levels x SSRI levels (escitalopram or citalopram) interaction in schizophrenia or bipolar disorder,3,3,0,0,3,0
Sleep depth,3,3,0,0,3,0
Lymphotoxin alpha2:beta1 levels,3,3,0,0,3,0
Lysosomal alpha-glucosidase levels,3,3,0,0,3,0
ANXA11/NT5C3A protein level ratio,3,3,0,0,3,0
CD11c on CD62L+ myeloid Dendritic Cell,3,3,0,0,3,0
CD11c on monocyte,3,3,0,0,3,0
Incident coronary heart disease,3,3,0,0,3,0
Lysophosphatidylcholine (20:5) [sn2] levels,3,3,0,0,3,0
Lysophosphatidylcholine (22:0) [sn1] levels,3,3,0,0,3,0
End-stage renal disease in diabetes,3,3,0,0,3,0
Kidney disease (end stage renal disease vs macroalbuminuria) in diabetes,3,3,0,0,3,0
Reduced eGFR in diabetes,3,3,0,0,3,0
Kidney disease (reduced eGFR and albuminuria or end stage renal disease) in diabetes,3,3,0,0,3,0
Lysoalkenylphosphatidylcholine (P-18:1) levels,3,3,0,0,3,0
Lysophosphatidylethanolamine (22:6) [sn2] levels,3,3,0,0,3,0
Lysoalkenylphosphatidylethanolamine (P-18:0) levels,3,3,0,0,3,0
Lysophosphatidylinositol (18:0) [sn2] levels,3,3,0,0,3,0
Lysophosphatidylinositol (18:2) [sn1] levels,3,3,0,0,3,0
HABP2 protein levels,3,3,0,0,3,0
Brain shape (segment 14),3,3,0,0,3,0
Brain shape (segment 21),3,3,0,0,3,0
Brain shape (segment 22),3,3,0,0,3,0
Phosphatidylethanolamine (O-18:2_18:1) levels,3,3,0,0,3,0
TUBA4A protein levels,3,3,0,0,3,0
MRPS34 protein levels,3,3,0,0,3,0
Red wine liking,3,3,0,0,3,0
Lysophosphatidylethanolamine (20:4) [sn2] levels,3,3,0,0,3,0
HLA DR on B cell,3,3,0,0,3,0
CD8 on CD28+ CD45RA- CD8+ T cell,3,3,0,0,3,0
ANXA3/BID protein level ratio,3,3,0,0,3,0
APBB1IP/LSP1 protein level ratio,3,3,0,0,3,0
APBB1IP/POLR2F protein level ratio,3,3,0,0,3,0
EPHB6/LAYN protein level ratio,3,3,0,0,3,0
Helicobacter pylori serologic status,3,3,0,0,3,0
BMI x SSRI levels interaction in schizophrenia or bipolar disorder,3,3,0,0,3,0
Serum levels of protein ASGR1,3,3,0,0,3,0
Phosphatidylcholine (14:0_22:6) levels,3,3,0,0,3,0
Phosphatidylcholine (15-MHDA_18:1) levels,3,3,0,0,3,0
Number of pure drusen,3,3,0,0,3,0
EPO/TFRC protein level ratio,3,3,0,0,3,0
ERBB2/FURIN protein level ratio,3,3,0,0,3,0
ERBB2/GUSB protein level ratio,3,3,0,0,3,0
ERBB2/PTPRF protein level ratio,3,3,0,0,3,0
ERBB4/NELL1 protein level ratio,3,3,0,0,3,0
CD4 on activated CD4 regulatory T cell,3,3,0,0,3,0
CD4 on CD39+ activated CD4 regulatory T cell,3,3,0,0,3,0
Phosphatidylcholine (P-36:1) levels,3,3,0,0,3,0
Sphingomyelin (43:2) (b) levels,3,3,0,0,3,0
CD45RA on naive CD4+ T cell,3,3,0,0,3,0
ESAM/JAM2 protein level ratio,3,3,0,0,3,0
Serum levels of protein TF,3,3,0,0,3,0
Serum levels of protein TFPI,3,3,0,0,3,0
Serum levels of protein TGFB1,3,3,0,0,3,0
Brain shape (segment 132),3,3,0,0,3,0
Vitamin levels,3,3,0,0,3,0
ALDH1A1/CA2 protein level ratio,3,3,0,0,3,0
ALDH1A1/CA3 protein level ratio,3,3,0,0,3,0
ALDH1A1/PTS protein level ratio,3,3,0,0,3,0
Non-ischemic heart failure with preserved ejection fraction,3,0,3,0,3,3
ALPP/MSLN protein level ratio,3,3,0,0,3,0
AMBP/ASGR1 protein level ratio,3,3,0,0,3,0
AMBP/HAVCR1 protein level ratio,3,3,0,0,3,0
ANXA4/CA13 protein level ratio,3,3,0,0,3,0
CD8 on Natural Killer T,3,3,0,0,3,0
SSC-A on granulocyte,3,3,0,0,3,0
CD4 on CD39+ CD4+ T cell,3,3,0,0,3,0
SSC-A on T cell,3,3,0,0,3,0
Sphingomyelin (d18:2/18:0) levels,3,3,0,0,3,0
IL36G protein levels,3,3,0,0,3,0
KLK6 protein levels,3,3,0,0,3,0
Serum levels of protein IAPP,3,3,0,0,3,0
Disintegrin and metalloproteinase domain-containing protein 10 levels,3,3,0,0,3,0
Serum levels of protein TGM3,3,3,0,0,3,0
Serum levels of protein THPO,3,3,0,0,3,0
Serum levels of protein GLCE,3,3,0,0,3,0
IGLV9-49 protein levels,3,3,0,0,3,0
Phosphatidylethanolamine (15-MHDA_20:4) levels,3,3,0,0,3,0
Sleep duration (oversleepers vs undersleepers),3,3,0,0,3,0
"Dementia (includes Alzheimer's, Vascular, etc.)",3,3,0,0,3,0
CAPN1 protein levels,3,3,0,0,3,0
Alkenylphosphatidylcholine (P-18:0/22:6) levels,3,3,0,0,3,0
Rey auditory verbal learning test (12 month visit),3,3,0,0,3,0
Functional activities questionnaire (12 month visit),3,3,0,0,3,0
Serum levels of protein ICAM5,3,3,0,0,3,0
Serum levels of protein TP53,3,3,0,0,3,0
Serum levels of protein TPM2,3,3,0,0,3,0
BMI x SSRI defined daily dose interaction in schizophrenia or bipolar disorder,3,3,0,0,3,0
HDL levels x SSRI defined daily dose interaction in schizophrenia or bipolar disorder,3,3,0,0,3,0
Total cholesterol levels x SSRI defined daily dose interaction in schizophrenia or bipolar disorder,3,3,0,0,3,0
aseg rh volume Caudate,3,3,0,0,3,0
ETS domain-containing protein Elk-3 levels,3,3,0,0,3,0
Retinal arteriolar caliber,3,3,0,0,3,0
Eosinophil cationic protein levels and Eosinophil-derived neurotoxin levels,3,3,0,0,3,0
Phosphatidylcholine (18:0_22:4) levels,3,3,0,0,3,0
Lower facial height,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-18:0/20:4) levels,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-18:0/22:5) (n6) levels,3,3,0,0,3,0
CD8 on CD8+ T cell,3,3,0,0,3,0
CD4 on CD28+ CD4+ T cell,3,3,0,0,3,0
Cortical bone thickness,3,3,0,0,3,0
Serum levels of protein TCN2,3,3,0,0,3,0
Palmitoleoylcarnitine levels,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-16:0/20:4) levels,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-17:0/20:4) (b) levels,3,3,0,0,3,0
APOC2 protein levels,3,3,0,0,3,0
Systolic blood pressure x dichotomous lifestyle risk score interaction (2df test),3,3,0,0,3,0
Glycosuria in pregnancy (maternal genotype effect),3,3,0,0,3,0
Glycosuria in pregnancy (offspring genotype effect),3,3,0,0,3,0
ALCAM/MSR1 protein level ratio,3,3,0,0,3,0
ALCAM/SPINT1 protein level ratio,3,3,0,0,3,0
ANXA3/NSFL1C protein level ratio,3,3,0,0,3,0
Phosphatidylethanolamine (18:0_22:5) (n6) levels,3,3,0,0,3,0
Phosphatidylethanolamine (18:0_22:6) levels,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-16:0/20:3) (b) levels,3,3,0,0,3,0
ER membrane protein complex subunit 8 levels,3,3,0,0,3,0
Adhesion G protein-coupled receptor E2 levels,3,3,0,0,3,0
Endoplasmin levels,3,3,0,0,3,0
Midline nonsyndromic craniosynostosis,3,3,0,0,3,0
Physiological dysregulation (Mahalanobis distance),3,3,0,0,3,0
Diastolic blood pressure x quantitative lifestyle risk score interaction (1df test),3,3,0,0,3,0
Diastolic blood pressure x dichotomous lifestyle risk score interaction (1df test),3,3,0,0,3,0
Diastolic blood pressure x dichotomous lifestyle risk score interaction (2df test),3,3,0,0,3,0
Incremental insulin,3,3,0,0,3,0
TTC24 protein levels,3,3,0,0,3,0
DTI TBSS MD Superior corona radiata L,3,3,0,0,3,0
DTI TBSS MD Posterior corona radiata R,3,3,0,0,3,0
DTI TBSS L3 Uncinate fasciculus L,3,3,0,0,3,0
DTI TBSS MD Genu of corpus callosum,3,3,0,0,3,0
DTI TBSS MD Splenium of corpus callosum,3,3,0,0,3,0
Serum levels of protein SPATA20,3,3,0,0,3,0
"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B levels",3,3,0,0,3,0
"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C levels",3,3,0,0,3,0
Muellerian-inhibiting factor levels,3,3,0,0,3,0
Allergin-1 levels,3,3,0,0,3,0
MAP kinase-activated protein kinase 5 levels,3,3,0,0,3,0
Alkenylphosphatidylethanolamine (P-18:0/18:1) levels,3,3,0,0,3,0
Phosphatidylcholine (32:2) levels,3,3,0,0,3,0
Phosphatidylcholine (33:0) (b) levels,3,3,0,0,3,0
MGMT methylation in smokers,3,3,0,0,3,0
